zone,datetime,carbonIntensity,type
AU-NSW,2026-09-04T23:00:00.000Z,252,history
AU-NSW,2026-09-05T00:00:00.000Z,225,history
AU-NSW,2026-09-05T01:00:00.000Z,214,history
AU-NSW,2026-09-05T02:00:00.000Z,205,history
AU-NSW,2026-09-05T03:00:00.000Z,212,history
AU-NSW,2026-09-05T04:00:00.000Z,242,history
AU-NSW,2026-09-05T05:00:00.000Z,327,history
AU-NSW,2026-09-05T06:00:00.000Z,429,history
AU-NSW,2026-09-05T07:00:00.000Z,504,history
AU-NSW,2026-09-05T08:00:00.000Z,516,history
AU-NSW,2026-09-05T09:00:00.000Z,518,history
AU-NSW,2026-09-05T10:00:00.000Z,511,history
AU-NSW,2026-09-05T11:00:00.000Z,509,history
AU-NSW,2026-09-05T12:00:00.000Z,512,history
AU-NSW,2026-09-05T13:00:00.000Z,513,history
AU-NSW,2026-09-05T14:00:00.000Z,526,history
AU-NSW,2026-09-05T14:00:00.000Z,531,forecast
AU-NSW,2026-09-05T15:00:00.000Z,533,forecast
AU-NSW,2026-09-05T16:00:00.000Z,537,forecast
AU-NSW,2026-09-05T17:00:00.000Z,540,forecast
AU-NSW,2026-09-05T18:00:00.000Z,542,forecast
AU-NSW,2026-09-05T19:00:00.000Z,549,forecast
AU-NSW,2026-09-05T20:00:00.000Z,558,forecast
AU-NSW,2026-09-05T21:00:00.000Z,447,forecast
AU-NSW,2026-09-05T22:00:00.000Z,303,forecast
AU-NSW,2026-09-05T23:00:00.000Z,255,forecast
AU-NSW,2026-09-06T00:00:00.000Z,241,forecast
AU-NSW,2026-09-06T01:00:00.000Z,233,forecast
AU-NSW,2026-09-06T02:00:00.000Z,233,forecast
AU-NSW,2026-09-06T03:00:00.000Z,237,forecast
AU-NSW,2026-09-06T04:00:00.000Z,249,forecast
AU-NSW,2026-09-06T05:00:00.000Z,286,forecast
AU-NSW,2026-09-06T06:00:00.000Z,400,forecast
AU-NSW,2026-09-06T07:00:00.000Z,592,forecast
AU-NSW,2026-09-06T08:00:00.000Z,632,forecast
AU-NSW,2026-09-06T09:00:00.000Z,641,forecast
AU-NSW,2026-09-06T10:00:00.000Z,652,forecast
