zone,datetime,value,unit,source,temporalGranularity
DK-DK2,2026-09-06T10:45:00.000Z,1.4,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T11:00:00.000Z,1.34,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T11:15:00.000Z,1.39,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T11:30:00.000Z,1.59,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T11:45:00.000Z,1.4,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T12:00:00.000Z,1.33,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T12:15:00.000Z,1.34,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T12:30:00.000Z,1.33,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T12:45:00.000Z,1.33,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T13:00:00.000Z,1.59,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T13:15:00.000Z,1.59,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T13:30:00.000Z,1.6,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T13:45:00.000Z,2.1,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T14:00:00.000Z,3.52,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T14:15:00.000Z,3.99,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T14:30:00.000Z,19.98,EUR/MWh,nordpool.com,
DK-DK2,2026-09-06T14:45:00.000Z,57.81,EUR/MWh,nordpool.com,
